name,id,format,last_modified
Red Light Cameras Data,b57a31a1-5ee6-43e3-bfb9-206ebe93066d,GeoJSON,2022-11-28
Red Light Cameras Data - 4326.gpkg,431ec275-8a3d-4a72-98bb-a6a03315cf9f,gpkg,2024-07-24
Red Light Cameras Data - 2945.gpkg,8af1d8e9-eecd-4af7-a4c9-6f9e4a032521,GPKG,2022-04-18
Red Light Cameras Data - 4326.csv,5b44dd7e-fa54-4e6b-a637-6bfbff90eeb4,CSV,2024-07-24
Red Light Cameras Data - 2945.csv,a5076ab7-9587-4614-a68e-73163b6b746a,CSV,2022-04-18
Red Light Cameras Data - 4326.geojson,7e4ac806-4e7a-49d3-81e1-7a14375c9025,GeoJSON,2024-07-24
Red Light Cameras Data - 2945.geojson,2f7e6933-c655-4da2-8aa0-57954144ffbd,GeoJSON,2022-04-18
Red Light Cameras Data - 4326.zip,09f3e91a-d683-499a-9681-503b2eea8fc8,SHP,2024-07-24
Red Light Cameras Data - 2945.zip,af6be300-34ca-4cc5-98b9-07e805459d00,SHP,2022-04-18
Red Light Cameras Data - 2952.gpkg,cfbe65bd-efbe-48b3-8363-8a1fe085bacf,gpkg,2024-07-24
Red Light Cameras Data - 2952.geojson,3aec9adb-9141-49d1-b94d-cdde0d758b53,GeoJSON,2024-07-24
Red Light Cameras Data - 2952.csv,8260d0cc-92f8-4191-8b31-5c34f397be94,CSV,2024-07-24
Red Light Cameras Data - 2952.zip,465541bf-45ea-4b9e-bb16-b628f0be3462,SHP,2024-07-24
